# ts,lat,lon,ele,hdop,vdop
1.642341239019999981e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642341300283999920e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642341360661999941e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642341421306999922e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642341481786000013e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642341542512000084e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642341621821000099e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642341682223000050e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642341743065999985e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642341804079999924e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642341865078999996e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642341925773000002e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642341993071000099e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642342076107000113e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642342167176000118e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642342229092000008e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642342289739000082e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642342349766999960e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642342410392999887e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642342471088000059e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642342558388999939e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642342619349999905e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642342680012000084e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642342741167999983e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642342802239000082e+09,4.526402769999999975e+01,-7.233625259999999457e+01,nan,nan,nan
1.642342901000000000e+09,4.567754450999999705e+01,-7.341316197000000443e+01,7.959999847412109375e+01,5.000000000000000000e+02,5.000000000000000000e+02
1.642342960482000113e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642343021108999968e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642343082052000046e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642343142999000072e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642343212076999903e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642343281921000004e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642343343015000105e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642343404121999979e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642343464894999981e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642343525466000080e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642343586275000095e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642343646759000063e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
